,Province,Pollutant,Year,Value,Per Capita,By Capita,Death,Death per Capita
183,QC,NOX,2003,324281.2184795011,7480688.25,0.043349115434599364,18472,0.0024692915120477048
184,QC,VOC,2003,371202.5653075436,7480688.25,0.04962144563470395,18472,0.0024692915120477048
185,SK,NH3,2003,79666.24959408662,996232.5,0.07996752725301234,18472,0.01854185644415335
186,SK,CO,2003,475420.8607557692,996232.5,0.4772187825189092,18472,0.01854185644415335
187,SK,SOX,2003,147605.80367019438,996232.5,0.1481640115838365,18472,0.01854185644415335
188,SK,NOX,2003,173636.09652775683,996232.5,0.17429274444244375,18472,0.01854185644415335
189,SK,VOC,2003,240782.867616596,996232.5,0.24169344768073314,18472,0.01854185644415335
190,NL,NH3,2003,1121.9201065031498,518820.25,0.0021624447127943634,18472,0.03560385316494489
191,NL,CO,2003,118698.66978083205,518820.25,0.2287857302810213,18472,0.03560385316494489
192,NL,SOX,2003,54455.23553607224,518820.25,0.1049597341970986,18472,0.03560385316494489
193,NL,NOX,2003,62657.03962440597,518820.25,0.12076830005075162,18472,0.03560385316494489
194,NL,VOC,2003,32614.475412974847,518820.25,0.06286276492287039,18472,0.03560385316494489
195,PE,NH3,2003,3600.4188743548675,137212.25,0.026239777238219384,18472,0.13462354855342726
196,PE,CO,2003,38079.09840960889,137212.25,0.27751967050761783,18472,0.13462354855342726
197,PE,SOX,2003,2487.552866855326,137212.25,0.018129233117708705,18472,0.13462354855342726
198,PE,NOX,2003,7422.541951179388,137212.25,0.05409533005383548,18472,0.13462354855342726
199,PE,VOC,2003,7768.584446017187,137212.25,0.05661728049803998,18472,0.13462354855342726
200,AB,NH3,2004,137301.1888117309,3233030.0,0.042468269336112224,19607,0.006064589564588018
201,AB,CO,2004,1383843.872199306,3233030.0,0.42803310584785975,19607,0.006064589564588018
202,AB,SOX,2004,460344.60437018535,3233030.0,0.14238797795572122,19607,0.006064589564588018
203,AB,NOX,2004,673894.1361266741,3233030.0,0.20844042156326237,19607,0.006064589564588018
204,AB,VOC,2004,586015.7912882771,3233030.0,0.18125900201615114,19607,0.006064589564588018
205,BC,NH3,2004,24867.369304146465,4152339.5,0.00598876110783968,19607,0.00472191640399346
206,BC,CO,2004,1404280.1154602463,4152339.5,0.3381901011370208,19607,0.00472191640399346
207,BC,SOX,2004,71837.34705743834,4152339.5,0.017300451241387738,19607,0.00472191640399346
208,BC,NOX,2004,309875.8561902384,4152339.5,0.074626811268741,19607,0.00472191640399346
209,BC,VOC,2004,278032.8688500735,4152339.5,0.06695812537728996,19607,0.00472191640399346
210,ON,NH3,2004,105587.83771730724,12369015.25,0.008536478901770877,19607,0.0015851706545515012
211,ON,CO,2004,2339438.532122806,12369015.25,0.18913700766298322,19607,0.0015851706545515012
212,ON,SOX,2004,527485.6099768932,12369015.25,0.04264572395744222,19607,0.0015851706545515012
213,ON,NOX,2004,562197.282154124,12369015.25,0.045452064759490374,19607,0.0015851706545515012
214,ON,VOC,2004,594072.4707137287,12369015.25,0.04802908386047375,19607,0.0015851706545515012
215,MB,NH3,2004,58058.27106445188,1171479.0,0.04955980522438036,19607,0.016736962421007973
